time,ax,ay,az,aT
5.1480,0.4008,-0.1615,0.2473,0.498
5.1560,3.2243,1.0997,10.3052,10.854
5.1710,1.3039,1.8009,5.4273,5.865
5.1770,-0.5901,1.0593,-2.5404,2.815
5.1860,-1.4252,-0.1074,-2.9712,3.297
5.2040,-2.2801,-1.0025,-2.2428,3.352
5.2090,-3.0738,-1.2851,-2.1021,3.939
5.2170,-3.2367,-1.3106,-2.0939,4.072
5.2260,-2.5858,-0.9874,-2.4296,3.683
5.2400,0.0824,0.2800,-3.1573,3.171
5.2450,1.0697,0.9187,-3.0994,3.405
5.2570,-0.2025,0.2067,-2.8258,2.841
5.2720,-1.1626,-0.9139,-2.8394,3.201
5.2770,-1.7999,-1.6462,-2.9795,3.851
5.2850,-2.4845,-1.1581,-2.4548,3.680
5.3080,-2.4747,-0.8681,-2.2058,3.427
5.3100,-2.5867,-1.7286,-3.4661,4.658
5.3200,-4.0485,-2.0242,-3.6040,5.786
5.3300,-5.0814,-1.4896,-3.3631,6.273
5.3390,-5.2395,-0.8909,-2.8777,6.044
5.3460,-4.3685,-0.7387,-2.5037,5.089
5.3570,-3.2106,-0.8195,-2.3664,4.072
5.3650,-3.0010,-1.2058,-1.2316,3.461
5.3760,-3.0100,-1.6551,-0.9364,3.560
5.3870,-3.1108,-1.7967,-1.1425,3.770
5.3980,-2.4559,-1.5191,-1.2517,3.147
5.4080,-2.6954,-1.5954,-2.7406,4.162
5.4220,-2.3313,-1.7264,-3.0894,4.238
5.4330,-1.1182,-1.7691,-1.9587,2.866
5.4420,0.4075,-1.8390,-1.3085,2.293
5.4520,0.9809,-2.6031,-1.1128,2.996
5.4570,0.2043,-3.3618,-5.1491,6.153
5.4680,-0.4704,-3.8820,-2.6807,4.741
5.4760,-1.0397,-2.6355,-5.3099,6.018
5.4860,-1.3151,-1.3930,-7.9584,8.186
5.5040,-1.1156,-1.2172,-8.6497,8.806
5.5100,-1.2554,-2.5183,-7.0165,7.560
5.5180,-1.6399,-3.8119,-5.6559,7.015
5.5250,-1.5678,-5.2075,-2.6441,6.047
5.5430,-1.0259,-5.4636,-1.4653,5.749
5.5530,-0.7520,-6.3179,0.7539,6.407
5.5590,0.6887,-7.6207,2.1805,7.956
5.5670,2.7649,-8.3671,3.1404,9.355
5.5790,3.0988,-8.3668,1.8424,9.110
5.5860,2.5917,-7.3278,0.0212,7.773
5.5980,2.0584,-6.4868,-1.9048,7.067
5.6050,1.8965,-6.6213,-2.2880,7.258
5.6180,2.0557,-7.6816,-1.4008,8.074
5.6280,2.1717,-8.3626,-0.2174,8.643
5.6370,1.8524,-8.8156,2.3977,9.322
5.6450,1.5545,-9.0557,4.9544,10.439
5.6570,2.1537,-8.8321,7.0320,11.493
5.6710,1.9319,-8.2899,7.6505,11.445
5.6770,0.0498,-7.4771,8.1090,11.030
5.6860,-1.7298,-6.4899,7.6086,10.149
5.6980,-1.7444,-5.6040,7.6606,9.651
5.7050,-1.5794,-5.2976,8.2453,9.927
5.7180,-2.4183,-5.3588,8.9191,10.683
5.7250,-3.9013,-4.9765,10.0225,11.851
5.7380,-5.5989,-3.7911,10.5145,12.501
5.7490,-6.1665,-2.4378,9.4389,11.535
5.7570,-6.6987,-0.7589,7.8999,10.385
5.7670,-5.5435,0.1032,7.2486,9.126
5.7760,-4.6064,0.8672,6.7933,8.253
5.7850,-4.6280,1.5922,7.0894,8.615
5.8050,-5.1524,2.0655,7.4217,9.268
5.8070,-5.9308,2.3876,6.7258,9.280
5.8160,-6.4752,2.8688,5.0725,8.711
5.8250,-6.6745,3.5813,2.8639,8.098
5.8380,-6.4672,4.4487,0.6404,7.876
5.8460,-6.4160,5.3263,-1.2096,8.426
5.8560,-6.3883,5.1679,-4.7396,9.486
5.8660,-5.4492,4.8484,-6.3039,9.641
5.8760,-5.4154,5.0314,-5.0901,8.975
5.8850,-2.6769,4.5642,-1.4018,5.474
5.9040,-2.7841,3.9126,-0.0346,4.802
5.9120,-4.1950,3.1826,0.1801,5.269
5.9200,-6.0980,2.6653,0.4875,6.673
5.9260,-5.5348,2.5114,1.9993,6.398
5.9360,-5.1598,2.0355,-0.6751,5.588
5.9460,-3.7444,1.7703,-1.3274,4.349
5.9560,-1.8224,1.5838,-1.2570,2.722
5.9650,0.9515,1.0304,-0.8895,1.661
5.9760,2.6723,0.3670,-0.3181,2.716
5.9860,3.6554,-0.5563,1.6367,4.044
5.9960,2.7077,-1.4738,3.7614,4.863
6.0060,0.2364,-2.1067,4.8218,5.267
6.0160,-1.8913,-2.1502,4.5460,5.373
6.0250,-3.2581,-1.8012,2.7849,4.649
6.0370,-3.5136,-1.5033,0.5745,3.865
6.0450,-4.0641,-1.5924,-0.8410,4.445
6.0570,-3.6937,-1.6211,-1.5290,4.314
6.0680,-3.6704,-1.5806,-1.0738,4.138
6.0760,-3.7138,-1.4304,-0.6790,4.037
6.0860,-2.6837,-1.2559,0.0379,2.963
6.0960,-1.9173,-1.6408,0.6833,2.614
6.1070,-1.9776,-1.6133,0.7144,2.650
6.1180,-1.3657,-2.4552,2.3725,3.677
6.1270,-0.7924,-2.1883,2.6180,3.503
6.1370,-0.4554,-1.7431,1.2592,2.198
6.1460,-0.6835,-1.8164,0.0919,1.943
6.1570,-0.7204,-1.5125,-0.7274,1.826
6.1650,-0.5320,-0.8921,-1.5452,1.862
6.1770,-0.5430,-0.7739,-1.7528,1.991
6.1860,-0.8995,-0.7403,-1.0298,1.555
6.1960,-1.5730,-1.0001,-0.2877,1.886
6.2060,-1.7063,-1.0731,0.8019,2.169
6.2210,-2.2731,-0.9706,3.8063,4.538
6.2260,-0.3344,-0.3254,2.7830,2.822
6.2400,0.2589,0.1485,3.7646,3.776
6.2460,-0.8830,-1.0154,5.9532,6.103
