time,ax,ay,az,aT
4.3670,0.1201,-0.0520,-0.0994,0.164
4.3800,0.0720,-0.0540,-0.1513,0.176
4.3900,0.0010,-0.0708,-0.1825,0.196
4.3970,-0.0585,-0.1441,-0.0449,0.162
4.4070,-0.0538,-0.1644,0.1787,0.249
4.4160,0.0592,-0.1344,0.2561,0.295
4.4290,0.0290,-0.0290,0.2346,0.238
4.4350,0.0234,-0.0005,0.1493,0.151
4.4470,-0.0442,0.0589,0.0649,0.098
4.4550,-0.0241,0.0695,-0.0162,0.075
4.4670,-0.0000,0.0068,-0.0789,0.079
4.4750,-0.0314,-0.0142,-0.1008,0.107
4.4870,-0.0632,0.0461,-0.2699,0.281
4.5000,-0.0908,0.1135,-0.4654,0.488
4.5060,-0.0111,0.0193,-0.4537,0.454
4.5160,0.1042,-0.0879,-0.2783,0.310
4.5290,0.0476,-0.0756,-0.2071,0.226
4.5350,-0.0434,-0.0284,-0.2737,0.279
4.5520,-0.1038,0.0478,-0.3658,0.383
4.5560,-0.0621,0.0357,-0.2497,0.260
4.5710,-0.0034,0.0009,-0.0778,0.078
4.5770,0.1017,-0.0278,-0.0371,0.112
4.5870,0.0973,-0.0663,0.0152,0.119
4.5970,-0.0136,-0.0499,0.1120,0.123
4.6060,-0.0605,-0.0329,0.2197,0.230
4.6160,0.1110,-0.0760,0.2622,0.295
4.6280,0.2775,-0.2160,0.2323,0.421
4.6360,0.2052,0.0152,0.0402,0.210
4.6540,0.0814,0.1549,-0.3232,0.368
4.6570,-0.1708,0.1572,-0.5693,0.615
4.6710,-0.1454,0.1680,-0.4304,0.484
4.6770,-0.0006,0.1141,-0.3006,0.322
4.6880,0.0551,0.0895,-0.2845,0.303
4.6990,0.0086,0.0228,-0.1346,0.137
4.7060,-0.0517,-0.0222,0.0848,0.102
4.7150,-0.0126,0.0071,0.2005,0.201
4.7290,-0.0370,-0.0136,0.0866,0.095
4.7350,-0.0502,-0.0571,0.0288,0.081
4.7480,-0.1006,-0.0460,0.0163,0.112
4.7550,-0.1128,0.0023,-0.1163,0.162
4.7660,-0.1289,0.0280,-0.2973,0.325
4.7760,-0.1667,0.0620,-0.4372,0.472
4.7880,-0.1221,0.0280,-0.4372,0.455
4.8040,0.0001,0.0395,-0.3711,0.373
4.8070,0.1890,0.1250,-0.1399,0.266
4.8160,0.0301,0.0669,0.0423,0.085
4.8320,0.0178,-0.0000,0.2954,0.296
4.8370,0.1478,0.0120,0.3554,0.385
4.8480,0.1498,-0.0277,0.1187,0.193
4.8560,0.1637,0.0017,-0.0233,0.165
4.8670,0.1527,0.0160,0.0403,0.159
4.8760,0.1696,-0.0298,-0.0644,0.184
4.8890,0.0690,-0.0801,-0.0959,0.143
4.9120,-0.0039,-0.1296,-0.1404,0.191
4.9120,-0.0583,-0.1764,-0.1166,0.219
4.9160,0.0207,-0.1441,-0.0162,0.146
4.9290,0.1108,-0.0982,-0.0939,0.175
4.9350,0.0400,-0.0755,-0.1220,0.149
4.9470,0.1251,-0.0372,-0.1505,0.199
4.9560,0.2381,0.0078,-0.1604,0.287
4.9680,0.0914,-0.0259,-0.2718,0.288
4.9750,-0.1491,-0.1642,-0.4443,0.497
4.9860,-0.1879,-0.2268,-0.3829,0.483
4.9980,-0.0815,-0.2065,-0.2484,0.333
5.0070,0.1098,-0.1000,-0.2022,0.251
5.0160,0.2251,0.0038,-0.0762,0.238
5.0290,0.1231,0.0432,0.0115,0.131
5.0360,-0.0348,0.0021,0.0429,0.055
5.0460,-0.0210,-0.0503,0.0614,0.082
5.0560,0.1005,-0.1118,0.0046,0.150
5.0690,0.1458,-0.1463,0.0369,0.210
5.0770,0.1000,-0.1100,0.0480,0.156
5.0870,0.0190,-0.1085,-0.0768,0.134
5.0980,-0.0374,-0.1328,0.0219,0.140
5.1070,-0.1242,-0.1884,0.0996,0.247
5.1190,-0.0460,-0.0180,-0.0067,0.050
5.1330,0.0404,0.0917,-0.1486,0.179
5.1360,-0.0301,0.2402,-0.2971,0.383
5.1490,-0.0970,0.2147,-0.4637,0.520
5.1550,-0.0988,-0.1640,-0.3822,0.427
5.1660,-0.0133,-0.1672,-0.2028,0.263
5.1750,0.0108,-0.1512,-0.0237,0.153
5.1880,0.0354,-0.1331,0.0603,0.150
5.1960,0.0340,-0.0517,0.1778,0.188
